docker_repo_name,docker_manifest,sha1_actual,md5_actual,sha256
docker.io/node,12-alpine,128d938f0384d1e7cf7b1b943e158ad13a1b023a,5a72a97b4e098340d7cfd96e4bddb0bf,916a8c21fd9d3a4285303ca58ed10d6eadf229d508174fe064cb33a210845154
docker.io/node,12-slim,93fef4bdc54bb9cf6cfdb0398a9f12cec7dfc1c9,7dff34e4a3c8a548464ae960e5d54315,0e418ae6a509eb1831da5a4044ed636c55bcfefbc6fb016aa213f323e2c9095b
